node1169,Cores per socket,20
node1169,Sockets,2
node1169,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1170,Cores per socket,20
node1170,Sockets,2
node1170,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1171,Cores per socket,20
node1171,Sockets,2
node1171,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1173,Cores per socket,20
node1173,Sockets,2
node1173,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1176,Cores per socket,20
node1176,Sockets,2
node1176,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1175,Cores per socket,20
node1175,Sockets,2
node1175,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1177,Cores per socket,20
node1177,Sockets,2
node1177,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1174,Cores per socket,20
node1174,Sockets,2
node1174,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1178,Cores per socket,20
node1178,Sockets,2
node1178,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1179,Cores per socket,20
node1179,Sockets,2
node1179,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1181,Cores per socket,20
node1181,Sockets,2
node1181,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1172,Cores per socket,20
node1172,Sockets,2
node1172,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1183,Cores per socket,20
node1183,Sockets,2
node1183,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1180,Cores per socket,20
node1180,Sockets,2
node1180,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1182,Cores per socket,20
node1182,Sockets,2
node1182,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1185,Cores per socket,20
node1185,Sockets,2
node1185,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node116,Cores per socket,8
node116,Sockets,2
node116,Model name,IntelR XeonR CPU E5-2650 0 @ 2.00GHz
node1186,Cores per socket,20
node1186,Sockets,2
node1186,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1188,Cores per socket,20
node1188,Sockets,2
node119,Cores per socket,8
node119,Sockets,2
node1188,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
